"dataset_id","observacao_id","observacao_data","coord_sistema","coord_x","coord_y","coord_precisao","coord_fonte","pais_id","estado_id","municipio_id","amostra_tipo","amostra_quanti","amostra_area","taxon_sibcs_2009","terra_usoatual","geo_parental","geo_formacao","geo_litologia","relevo_declividade","relevo_drenagem","geo_pedregosidade_k2","geo_rochosidade_k2","fito_cobertura_k6","observacao_autor","camada_id","camada_nome","amostra_id","profund_sup","profund_inf","areia_naoh_peneira","argila_naoh_pipeta","calcio_kcl_eaa","magnesio_kcl_eaa","aluminio_kcl_naoh","potassio_mehlich1_eeac","sodio_mehlich1_eeac","carbono_cromo_30min150_mohr","dsi_cilindro","cascalho_olho"
"ctb0003","sm-dnos-001","10/02/2009","EPSG:4674",-53.794645,-29.651271,15,"GPS","BR","RS",NA,"composta",3,100,"RY","animal husbandry","sedimentary",NA,NA,3,"well","Não pedregosa","Não rochosa","medium","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",912,44,3,1,0.1,0.2,NA,4.5,1.49,NA
"ctb0003","sm-dnos-002","10/02/2009","EPSG:4674",-53.793987,-29.650564,15,"GPS","BR","RS",NA,"composta",3,100,"PBAC","animal husbandry","sedimentary",NA,NA,3,"moderately well","Não pedregosa","Não rochosa","high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",735,102,3.2,1,0.8,0.2,NA,7.2,1.56,NA
"ctb0003","sm-dnos-003","10/02/2009","EPSG:4674",-53.793993,-29.650232,15,"GPS","BR","RS",NA,"composta",3,100,"PBAC","crop agriculture","sedimentary",NA,NA,3,"moderately well","Não pedregosa","Não rochosa","low","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",753,99,4.3,1.6,0.2,0.6,NA,9,1.3,NA
"ctb0003","sm-dnos-004","10/02/2009","EPSG:4674",-53.794345,-29.650311,15,"GPS","BR","RS",NA,"composta",3,100,"RY","native forest","sedimentary",NA,NA,3,"well","Não pedregosa","Não rochosa","low","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",815,82,4.4,1.7,0.3,0.5,NA,17.1,1.15,NA
"ctb0003","sm-dnos-005","10/02/2009","EPSG:4674",-53.792947,-29.650838,15,"GPS","BR","RS",NA,"composta",3,100,"RY","animal husbandry","sedimentary",NA,NA,3,"moderately well","Não pedregosa","Não rochosa","high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",684,100,3.8,0.8,0.6,0.2,NA,11.7,1.17,NA
"ctb0003","sm-dnos-006","10/02/2009","EPSG:4674",-53.793499,-29.649951,15,"GPS","BR","RS",NA,"composta",3,100,"PBAC","crop agriculture","sedimentary",NA,NA,3,"moderately well","Não pedregosa","Não rochosa","low","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",549,156,3.6,0.9,1.3,0.2,NA,9.9,1.38,NA
"ctb0003","sm-dnos-007","10/02/2009","EPSG:4674",-53.793272,-29.649962,15,"GPS","BR","RS",NA,"composta",3,100,"PBAC","shrubland","sedimentary",NA,NA,3,"moderately well","Não pedregosa","Não rochosa","somewhat high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",488,169,4,1,1.1,0.2,NA,11.7,1.41,NA
"ctb0003","sm-dnos-008","10/02/2009","EPSG:4674",-53.793633,-29.648468,15,"GPS","BR","RS",NA,"composta",3,100,"SX","animal husbandry","sedimentary",NA,NA,3,"somewhat poorly","Não pedregosa","Não rochosa","high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",792,102,2.5,0.5,1.4,0.1,NA,10.8,1.07,NA
"ctb0003","sm-dnos-009","10/02/2009","EPSG:4674",-53.793707,-29.647836,15,"GPS","BR","RS",NA,"composta",3,100,"SX","animal husbandry","sedimentary",NA,NA,3,"somewhat poorly","Não pedregosa","Não rochosa","high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",857,68,1.3,0.3,1.4,0.1,NA,8.1,1.23,NA
"ctb0003","sm-dnos-010","10/02/2009","EPSG:4674",-53.793019,-29.64797,15,"GPS","BR","RS",NA,"composta",3,100,"PBAC","native forest","sedimentary",NA,NA,3,"well","Não pedregosa","Não rochosa","low","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",788,91,2.7,0.5,0.3,0.1,NA,9.9,1.57,NA
"ctb0003","sm-dnos-011","10/02/2009","EPSG:4674",-53.792816,-29.64804,15,"GPS","BR","RS",NA,"composta",3,100,"PBAC","shrubland","sedimentary",NA,NA,3,"moderately well","Não pedregosa","Não rochosa","high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",833,69,2.1,0.8,0.4,0.2,NA,5.4,1.37,NA
"ctb0003","sm-dnos-012","10/02/2009","EPSG:4674",-53.79206,-29.64927,15,"GPS","BR","RS",NA,"composta",3,100,"PBAC","animal husbandry","sedimentary",NA,NA,3,"moderately well","Não pedregosa","Não rochosa","high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",631,110,2.2,0.1,1.2,0.1,NA,10.8,1.05,NA
"ctb0003","sm-dnos-013","10/02/2009","EPSG:4674",-53.79184,-29.648724,15,"GPS","BR","RS",NA,"composta",3,100,"PBAC","crop agriculture","sedimentary",NA,NA,3,"well","Não pedregosa","Não rochosa","low","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",726,76,2.3,0.6,0.3,0.4,NA,9,1.22,NA
"ctb0003","sm-dnos-014","10/02/2009","EPSG:4674",-53.792442,-29.648539,15,"GPS","BR","RS",NA,"composta",3,100,"CX","animal husbandry","sedimentary",NA,NA,3,"well","Não pedregosa","Não rochosa","high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",718,115,4.7,2.5,3.6,0.5,NA,13.5,1.18,NA
"ctb0003","sm-dnos-015","10/02/2009","EPSG:4674",-53.792655,-29.648548,15,"GPS","BR","RS",NA,"composta",3,100,"CX","crop agriculture","sedimentary",NA,NA,12,"well","Não pedregosa","Não rochosa","somewhat high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",720,143,4.8,1.6,4.8,0.3,NA,13.5,0.97,NA
"ctb0003","sm-dnos-016","10/02/2009","EPSG:4674",-53.792509,-29.647109,15,"GPS","BR","RS",NA,"composta",3,100,"RL","animal husbandry","sedimentary",NA,NA,82,"well","Não pedregosa","Não rochosa","medium","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",784,109,1.5,0.4,2.5,0.3,NA,10.8,1.32,NA
"ctb0003","sm-dnos-017","10/02/2009","EPSG:4674",-53.79256,-29.646736,15,"GPS","BR","RS",NA,"composta",3,100,"RL","native forest","sedimentary",NA,NA,50,"well","Não pedregosa","Não rochosa","somewhat high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",755,87,2.6,0.7,0.6,0.1,NA,9,1.46,NA
"ctb0003","sm-dnos-018","10/02/2009","EPSG:4674",-53.792256,-29.646199,15,"GPS","BR","RS",NA,"composta",3,100,"RQ","animal husbandry","sedimentary",NA,NA,18,"well","Não pedregosa","Não rochosa","somewhat high","Alessandro Samuel Rosa, Pablo Miguel, Andrisa Balbinot, Jean Michel Moura Bueno","1",NA,NA,"0","20",916,44,0.5,0.1,0.4,0.1,NA,3.6,1.45,NA
